Image_id,Id, P1_X, P1_Y, P2_X, P2_Y, P3_X, P3_Y, P4_X, P4_Y,Class,Subclass,Sunroof,Taxi,Luggage_Carrier,Open_cargo_area,Enclosed_cab,Spare_wheel,Wrecked,Flatbed,Ladder,Enclosed_box,Soft_shell_box,Harnessed_to_a_cart,Vents,Air_conditioner,Color
100007,1,800.0478297,1293.350283,795.2986734,1313.025359,815.6522006,1320.488319,822.4367096,1299.456341,solar panel,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100007,2,988.6571815,1318.452966,983.9080252,1338.128043,1002.2262,1341.520297,1010.36761,1320.488319,solar panel,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100007,3,1043.611705,1329.308181,1039.540999,1346.269453,1060.572978,1350.340159,1065.322134,1333.378886,solar panel,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100007,4,1027.911987,1525.385498,1045.771484,1518.33728,1060.088013,1554.614502,1042.228516,1561.66272,small vehicle,sedan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yellow
100007,5,1149.542562,1610.66065,1145.056936,1624.678231,1165.242253,1629.163856,1170.288582,1613.464166,solar panel,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100007,6,1354.19924,1558.51525,1351.395724,1574.21494,1383.916511,1580.382676,1386.159324,1564.122282,solar panel,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100007,7,1289.718369,1412.732411,1284.67204,1426.749991,1305.418059,1431.79632,1308.221576,1418.339443,solar panel,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100007,8,1338.117252,1267.17895,1336.588062,1280.941666,1354.428619,1284.509777,1357.99673,1269.727601,solar panel,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100007,9,1413.557323,1053.092263,1410.498942,1067.874439,1440.063294,1071.952281,1444.650866,1057.679835,solar panel,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100007,10,1531.305001,1081.127424,1527.227159,1098.967982,1550.674749,1098.967982,1552.203939,1085.714996,solar panel,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
100007,11,1591.453165,622.370238,1589.414244,635.6232234,1610.822913,638.6816046,1614.391024,624.4091588,solar panel,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
